uuid,properties.name,properties.identifier.permalink,properties.identifier.image_id,properties.identifier.uuid,properties.identifier.entity_def_id,properties.identifier.value,properties.primary_job_title,properties.description,properties.primary_organization.permalink,properties.primary_organization.image_id,properties.primary_organization.uuid,properties.primary_organization.entity_def_id,properties.primary_organization.value,properties.gender
fd543302-4bac-c85d-2683-3ed6565966ee,Sanjay Poonen,sanjay-poonen,jfdm1env1bun4seylcbe,fd543302-4bac-c85d-2683-3ed6565966ee,person,Sanjay Poonen,"Chief Operating Officer, Customer Operations","Sanjay Poonen joined VMware in August 2013, and is responsible for worldwide sales, services, alliances, marketing and communications. Previously, Poonen held the role of executive vice president and general manager for the End-User Computing business unit at VMware. In this role, he was responsible for strategy, products, engineering, marketing and sales across all of VMware's End-User Computing offerings. 

Before VMware, Poonen was president and corporate officer of Platform Solutions and the Mobile Division at SAP AG. During his more than seven years at SAP, Poonen held several executive-level roles in product development and sales, including leading SAP’s Analytics, Big Data, Mobile and all Industry Business Units, driving many solutions to industry-leading market positions. 

Prior to SAP, Poonen held executive roles at Symantec, VERITAS and Informatica, and he began his career as a software engineer at Microsoft, followed by Apple. Poonen serves on the Board of Directors of Infor and the Advisory Board of Docusign. 

Poonen holds two patents as well as an MBA from Harvard Business School, where he graduated a Baker Scholar; a master's degree in management science and engineering from Stanford University; and a bachelor's degree in computer science, math and engineering from Dartmouth College, where he graduated summa cum laude and Phi Beta Kappa.",vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
69cc2102-f22f-d9fb-38d5-f7cdd6ce5b05,Edward Wang,edward-wang,v1490939138/rsvbpnwqawsl6lzdm0fh.jpg,69cc2102-f22f-d9fb-38d5-f7cdd6ce5b05,person,Edward Wang,Co-Founder,"Dr. Edward Wang, Co-Founder and serves as Principal Engineer of Vmware, Inc. Dr. Wang has 10+ years of high tech industry experience. Prior to joining VMware, he worked as a principal engineer at VXtreme and Mindcraft and has consulted extensively on UNIX software projects. In 1993, he received a Lifetime Achievement Award from Usenix for his contributions to the development of Berkeley UNIX. 

He also helped to neutralize the infamous Internet Worm virus by discovering and describing one of its key mechanisms. 

He holds Ph.D. and M.S. degrees in computer science and a B.S. in electrical engineering and computer science from the University of California at Berkeley.",vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
4fccc5ea-4276-4444-8157-b7b4ead61f65,Jayanta Dey,jayanta-dey,bgl8rdaqxhpou53vurkf,4fccc5ea-4276-4444-8157-b7b4ead61f65,person,Jayanta Dey,"VP Engineering, Cloud Foundation and Integrated Systems",Jayanta Dey serves as vice president of engineering for Cloud Foundation and Integrated Systems at VMware.,vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
e73d3340-0390-2317-a854-393568ed5f0c,Raghu Raghuram,raghu-raghuram,v1397184833/482778001c0e29cbff294b10d1c3b2fe.png,e73d3340-0390-2317-a854-393568ed5f0c,person,Raghu Raghuram,CEO,"Raghu Raghuram joined VMware in 2003 and leads the company's cloud infrastructure and management business, bringing more than 25 years of technology experience. During his tenure at VMware, Raghuram has held multiple roles in product management and product marketing, most recently leading worldwide product marketing, product management and business planning for VMware's virtual infrastructure, SMB and emerging markets businesses, as well as shared product marketing services.

Prior to VMware, Raghuram held product management and marketing roles at AOL, Bang Networks and Netscape. Raghuram holds an MBA from the Wharton School of Business and a master's degree in electrical engineering from the Indian Institute of Technology, Bombay.",vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
11824886-05ac-4bd1-879e-af6f9480fed2,Zane Rowe,zane-rowe,xkcznvooa6squrrxr4ot,11824886-05ac-4bd1-879e-af6f9480fed2,person,Zane Rowe,Chief Financial Officer and Executive Vice President,"Mr. Rowe has served as a member of our board of directors since September 2016. Mr. Rowe has served as Chief Financial Officer and Executive Vice President of VMware since March 2016. Before joining VMware, he served as Executive Vice President and Chief Financial Officer of DellEMC from October 2014 through February 2016. Prior to joining DellEMC, Mr. Rowe was Vice President of North American Sales of Apple Inc. from May 2012 to May 2014. He was Executive Vice President and Chief Financial Officer of United Continental Holdings, Inc., an airline holdings company, from October 2010 until April 2012 and was Executive Vice President and Chief Financial Officer of Continental Airlines from August 2008 to September 2010. Mr. Rowe currently serves on the board of directors of Sabre Corporation.",vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
70537d59-51cf-ea61-e86c-96d83359cb53,Scott Devine,scott-devine,,70537d59-51cf-ea61-e86c-96d83359cb53,person,Scott Devine,Co-Founder,"Scott Devine, Co-Founder and serves as Principal Engineer of Vmware, Inc. Dr. Devine, primary research interests are in operating systems and computer architectures, and he was a key member of the SimOS and Disco virtual machine research teams. 

Dr. Devine was a Ph.D. candidate in computer science at Stanford University prior to co-founding VMware. He holds a B.S. from Cornell University and an M.S. from Stanford University.",vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
025f1bad-a1d9-ec3c-f8ec-4a75f3374c5d,Vittorio Viarengo,vittorio-viarengo,v1493278634/bz1tj7rkqvedr5u5i1wi.png,025f1bad-a1d9-ec3c-f8ec-4a75f3374c5d,person,Vittorio Viarengo,Vice President of Cross-Cloud Services,"Vittorio Viarengo brings more than 30 years of experience in building and leading world-class product management, engineering and marketing teams tuned to succeed in fast growing markets. Vittorio currently serves as the Vice President of Cross-Cloud Services at VMware where he drives the thought leadership and go-to-market strategy for VMware Cross-Cloud Services.

Prior to VMware, Vittorio was the interim CMO of McAfee after running marketing for McAfee’s Cloud Business Unit, the division built around the Skyhigh Networks acquisition where he was the Chief Marketing Officer, responsible for corporate marketing, communication, product marketing and demand generation. 

Prior to Skyhigh, Vittorio was the CMO and VP of Products at MobileIron, during the explosive growth years between 2012-2015, when revenues went from $40 million to $132 million. At MobileIron, Vittorio was also part of the core leadership team that took the company public in 2014. 

Prior to MobileIron, Vittorio served in increasing levels of responsibility across product management and marketing at VMware Inc. Most recently, Vittorio led the End-User Computing Division as Vice President of Marketing, where he played a key role in putting VMware’s Virtual Desktop Infrastructure (VDI) on a fast-growth trajectory and giving VMware a compelling vision for the End User Computing business. 

Vittorio also held executive engineering and product management positions at Oracle’s Fusion Middleware Division, BEA Systems and Object Design Inc. 
Vittorio started his career as the Founder and Chief Executive Officer of ViVi Software Inc., a company that created visual development tools for object databases, from its start until its acquisition by Object Design in1997. 

Vittorio holds a B.A. in Software Engineering from Universita’ degli Studi di Genova, Italy.",vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
dc28b01f-7dd2-db3b-884d-6cf25db35d5e,Mendel Rosenblum,mendel-rosenblum,v1398425114/ezjkknlrebo9dnyohygv.jpg,dc28b01f-7dd2-db3b-884d-6cf25db35d5e,person,Mendel Rosenblum,Co-Founder,"Mendel Rosenblum is a co-founder of [VMware](https://www.crunchbase.com/organization/vmware), a software company that provides cloud and virtualization services. Previously, he was an accountant at Better Accounting Solutions.",vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
0e5096e4-a557-4d80-bfd1-5b0ab5879a93,Sandeep Poonen,sandeep-poonen,lzqrkswxlwhipy15joov,0e5096e4-a557-4d80-bfd1-5b0ab5879a93,person,Sandeep Poonen,"Information Security Officer, Cloud Services","Sandeep serves as Information Security Officer for all VMware Cloud Services. He partners with engineering teams and executives to develop short- and long-term security, product and service strategies. Previously, he was West Coast Lead, GRC and Analytics at PwC. There, he solved clients' security challenges such as open vulnerabilities, segregation of duties issues, and access violations through integration of best-in-class security objectives into business processes without affecting operational efficiency.",vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
32fc6d73-017d-16b7-b677-7271011094db,Maurizio Carli,maurizio-carli,v1397184723/6a1a53a40438f1b92941f9e38fbb1979.png,32fc6d73-017d-16b7-b677-7271011094db,person,Maurizio Carli,"Senior Vice President and General Manager, Europe, Middle East and Africa (EMEA)","Maurizio Carli joined VMware in December 2008 and manages the Europe, Middle East and Africa (EMEA) region to drive growth and oversee strategic planning, business operations and the management of key functions including sales, channels, services and marketing, bringing nearly 30 years of IT industry experience. Prior to VMware, Carli worked on a short-term assignment at Google and spent five years at Business Objects, where as senior vice president and general manager, EMEA, he was responsible for sales, pre-sales, marketing, finance, customer support and global services. Until 2002, Carli spent 19 years at IBM, most recently as vice president of Software for IBM EMEA. Overseeing a 5,000-strong division, he led IBM's software portfolio in the region including sales, marketing, technical support, finance and human resources. Previously, Maurizio was vice president and general manager for IBM’s Tivoli Systems Division, and also held sales and sales management positions in the government, education and healthcare sectors for IBM Italy. Maurizio holds a BSC in electronic engineering from the Politecnico di Milano in Italy.",vmware,qxriqfhypeuyosqwritt,fb1e0239-94df-a94c-56d9-28956a629ed9,organization,VMware,male
